date,site,sample_point,Depth (m),Current Velocity (s/m),Photometer (DLI mol/m^2),DO (mg/L),DO (%),Temperature (C),pH,Salinity (ppt),Conductivity (uS/cm)
2026-01-31,NPB1,Riffle 1,0.41,10.68,33.5,11.4,,12,7.89,0,3365
2026-01-31,NPB1,Riffle 1,0.51,10.63,30.8,9.9,92%,11.9,7.82,1.3,1930
2026-01-31,NPB1,Riffle 1,0.71,10.89,29.2,9.4,85%,12,7.89,2.4,3362
2026-01-31,NPB1,Riffle 2,0.48,0,31.3,10.3,97%,12.3,7.94,2.5,3547
2026-01-31,NPB1,Riffle 2,0.6,0,25.2,9.6,60%,12.2,7.87,2.5,3456
2026-01-31,NPB1,Riffle 2,0.89,0,22.3,9.4,87%,11.9,7.87,2.5,3415
2026-01-31,NPB1,Riffle 3,0.17,0,35.2,8.7,83%,12.9,7.9,1.8,2666
2026-01-31,NPB1,Riffle 3,0.6,0,32.5,8.4,78%,12.2,7.84,2.5,3523
2026-01-31,NPB1,Riffle 3,0.64,0,33.3,8.2,75%,12,7.87,2.5,3474
